區域別,戶數,人口數
新北市,1370,2915
新北市,341,812
新北市,946,2312
新北市,570,1450
新北市,729,1920
新北市,595,1570
新北市,280,741
新北市,1611,4293
新北市,442,1294
新北市,737,2059
新北市,557,1503
新北市,724,1917
新北市,1295,3508
新北市,789,2269
新北市,204,531
新北市,146,334
新北市,139,334
新北市,82,177
新北市,233,532
新北市,239,487
新北市,168,367
新北市,104,194
新北市,191,384
新北市,203,403
新北市,114,206
新北市,109,217
新北市,191,371
新北市,140,321
新北市,268,537
新北市,649,1369
新北市,1072,2299
新北市,641,1433
新北市,89,284
新北市,260,966
新北市,1281,3615
新北市,2802,5467
新北市,820,2157
新北市,2274,6091
新北市,2022,5918
新北市,818,2161
新北市,1734,4880
新北市,2192,6153
新北市,1491,4195
新北市,1298,3454
新北市,3143,8997
新北市,1246,3324
新北市,2954,8549
新北市,2229,6576
新北市,1651,4725
新北市,634,1724
新北市,2746,7354
新北市,2639,7946
新北市,2443,7401
新北市,1724,5157
新北市,1931,5007
新北市,3186,8751
新北市,1814,4691
新北市,1909,5162
新北市,1958,5398
新北市,1085,2778
新北市,608,1756
新北市,1996,5578
新北市,2070,6052
新北市,1265,3829
新北市,1718,4797
新北市,1836,5277
新北市,1113,3207
新北市,2102,5856
新北市,1588,4630
新北市,1681,4823
新北市,2131,5844
新北市,1659,4641
新北市,1953,5603
新北市,1186,3466
新北市,2480,6816
新北市,1267,3448
新北市,1795,5085
新北市,2378,6055
新北市,1326,3653
新北市,1086,3259
新北市,2382,6447
新北市,1585,4450
新北市,4740,13254
新北市,1968,5851
新北市,1418,4223
新北市,1876,5369
新北市,1361,4028
新北市,3778,11008
新北市,2400,6610
新北市,2038,5878
新北市,2536,6469
新北市,1187,3433
新北市,1262,3552
新北市,984,2836
新北市,853,2308
新北市,1272,3569
新北市,2027,6238
新北市,2237,6761
新北市,2400,7209
新北市,1415,4261
新北市,2225,6015
新北市,1288,3753
新北市,3367,9753
新北市,1833,5587
新北市,1198,3401
新北市,1923,5673
新北市,1245,3493
新北市,1143,3244
新北市,1963,5889
新北市,2580,5428
新北市,1747,5176
新北市,954,2851
新北市,1795,5429
新北市,1047,2939
新北市,842,2604
新北市,1128,3404
新北市,1805,5388
新北市,1546,4464
新北市,2567,7924
新北市,1554,4731
新北市,1695,5120
新北市,470,1287
新北市,1514,4033
新北市,546,1562
新北市,2156,6261
新北市,2185,5926
新北市,477,1596
新北市,1837,4672
新北市,1307,3843
新北市,1979,5560
新北市,1024,2462
新北市,1230,3161
新北市,1659,4629
新北市,1057,3090
新北市,1425,3962
新北市,1403,4033
新北市,1242,3595
新北市,2598,6602
新北市,2856,8167
新北市,1237,3311
新北市,309,1021
新北市,1336,3789
新北市,2433,7160
新北市,1045,3051
新北市,1686,4772
新北市,1503,4393
新北市,1666,4919
新北市,1329,3868
新北市,1544,4088
新北市,1944,5193
新北市,1430,4245
新北市,3124,8719
新北市,790,2351
新北市,1236,3626
新北市,1502,3944
新北市,1399,3979
新北市,3732,9632
新北市,1520,4554
新北市,2122,5856
新北市,3756,9590
新北市,1615,4718
新北市,1368,4066
新北市,503,1710
新北市,8360,19115
新北市,7383,15882
新北市,2355,6700
新北市,414,1252
新北市,491,1522
新北市,363,1114
新北市,334,1040
新北市,627,1695
新北市,2697,7179
新北市,3677,9690
新北市,1518,4418
新北市,1417,3556
新北市,1076,2540
新北市,1177,3198
新北市,783,2226
新北市,224,641
新北市,2588,6401
新北市,1194,2738
新北市,992,2275
新北市,184,465
新北市,402,895
新北市,301,810
新北市,367,769
新北市,164,362
新北市,223,443
新北市,275,705
新北市,347,861
新北市,147,270
新北市,112,319
新北市,360,886
新北市,487,1066
新北市,361,932
新北市,459,1373
新北市,467,1256
新北市,199,464
新北市,335,883
新北市,274,698
新北市,399,875
新北市,153,379
新北市,2126,5518
新北市,501,1153
新北市,357,1000
新北市,2925,7473
新北市,300,700
新北市,227,566
新北市,297,816
新北市,1114,2281
新北市,361,927
新北市,214,633
新北市,266,694
新北市,523,1357
新北市,459,1366
新北市,551,1666
新北市,857,2602
新北市,364,1038
新北市,677,1860
新北市,653,1840
新北市,146,373
新北市,238,762
新北市,372,1134
新北市,3123,7200
新北市,1371,3592
新北市,1106,3072
新北市,1516,4061
新北市,770,2091
新北市,2757,7484
新北市,1774,4711
新北市,619,1977
新北市,451,1706
新北市,508,1732
新北市,211,446
新北市,139,290
新北市,135,274
新北市,226,510
新北市,118,274
新北市,323,727
新北市,243,464
新北市,103,165
新北市,213,403
新北市,97,185
新北市,444,962
新北市,97,171
新北市,230,546
新北市,200,463
新北市,377,941
新北市,365,798
新北市,201,460
新北市,743,1901
新北市,163,371
新北市,458,1096
新北市,299,707
新北市,225,484
新北市,189,409
新北市,384,1071
新北市,385,996
新北市,231,518
新北市,320,821
新北市,188,455
新北市,258,758
新北市,653,1923
新北市,672,2007
新北市,721,2393
新北市,314,990
新北市,312,857
新北市,351,1151
新北市,198,572
新北市,270,824
新北市,166,597
新北市,558,2085
新北市,1382,4599
新北市,607,1997
新北市,544,1398
新北市,136,445
新北市,231,749
新北市,220,747
新北市,295,947
新北市,184,542
新北市,59,213
新北市,246,668
新北市,1917,5850
新北市,1459,5201
新北市,930,2864
新北市,1085,3746
新北市,1016,3224
新北市,230,640
新北市,383,1106
新北市,300,758
新北市,182,490
新北市,360,1316
新北市,1465,3321
新北市,866,2732
新北市,523,1835
新北市,198,749
新北市,192,612
新北市,47,254
臺北市,2081,5651
臺北市,2999,8442
臺北市,2911,7154
臺北市,1848,4862
臺北市,2130,5453
臺北市,2005,5191
臺北市,2041,4909
臺北市,1765,4858
臺北市,1730,4688
臺北市,3014,7485
臺北市,4243,11211
臺北市,1031,2934
臺北市,1822,4740
臺北市,2517,6795
臺北市,3446,9015
臺北市,2627,6612
臺北市,4003,8088
臺北市,3533,8694
臺北市,2139,5755
臺北市,3753,10261
臺北市,3422,8777
臺北市,3329,8370
臺北市,2545,6765
臺北市,3922,10854
臺北市,1727,4633
臺北市,1363,3838
臺北市,1565,4318
臺北市,2594,7498
臺北市,1283,3520
臺北市,1824,4876
臺北市,2548,6595
臺北市,1019,2859
臺北市,1466,3759
臺北市,2948,6124
臺北市,1911,4929
臺北市,1262,3027
臺北市,1726,3618
臺北市,1422,3665
臺北市,2487,6084
臺北市,2299,5483
臺北市,3155,8466
臺北市,4363,11163
臺北市,1391,4022
臺北市,2068,5206
臺北市,1485,3948
臺北市,2017,5243
臺北市,1445,4289
臺北市,1684,4342
臺北市,2184,5867
臺北市,2177,5553
臺北市,1991,5154
臺北市,2000,4611
臺北市,3025,8186
臺北市,885,2372
臺北市,2567,7304
臺北市,2084,5105
臺北市,1695,4695
臺北市,2983,8476
臺北市,2416,6416
臺北市,1659,4204
臺北市,2202,5416
臺北市,2646,6931
臺北市,3655,9355
臺北市,2148,5459
臺北市,2844,7148
臺北市,3144,8374
臺北市,1920,4807
臺北市,1719,4298
臺北市,2933,7533
臺北市,1320,3349
臺北市,1774,4333
臺北市,2982,7405
臺北市,1982,5044
臺北市,979,2219
臺北市,2338,5976
臺北市,2034,5833
臺北市,2521,7479
臺北市,3207,8455
臺北市,2226,5576
臺北市,2548,6094
臺北市,2892,7098
臺北市,1160,3144
臺北市,1832,4322
臺北市,3299,8024
臺北市,2293,6188
臺北市,2035,5157
臺北市,1787,4387
臺北市,3019,7372
臺北市,3687,8432
臺北市,2365,6533
臺北市,2397,6959
臺北市,1495,4033
臺北市,1399,3842
臺北市,1373,3858
臺北市,2155,6126
臺北市,2813,7064
臺北市,2643,7294
臺北市,1471,3701
臺北市,1904,5084
臺北市,2609,7279
臺北市,2301,5511
臺北市,2185,5573
臺北市,2614,6457
臺北市,2363,5864
臺北市,1759,4365
臺北市,1874,4655
臺北市,1820,4550
臺北市,2496,6168
臺北市,3031,7395
臺北市,1697,3855
臺北市,807,2042
臺北市,3506,10349
臺北市,1621,4656
臺北市,3536,8896
臺北市,2328,5995
臺北市,2067,5746
臺北市,3030,7864
臺北市,2060,5033
臺北市,2146,5201
臺北市,2429,6552
臺北市,2487,6766
臺北市,1949,5148
臺北市,2364,6495
臺北市,1746,4528
臺北市,2489,6657
臺北市,3044,8249
臺北市,1146,2915
臺北市,1412,3310
臺北市,2694,5376
臺北市,1981,3801
臺北市,2140,4774
臺北市,1509,2702
臺北市,3545,6506
臺北市,2378,4259
臺北市,3229,7431
臺北市,1957,4020
臺北市,2516,4913
臺北市,2831,5419
臺北市,1969,4443
臺北市,1441,3916
臺北市,3682,10162
臺北市,2998,7134
臺北市,3868,10050
臺北市,422,1127
臺北市,2161,5593
臺北市,2185,5242
臺北市,2165,5276
臺北市,2655,6941
臺北市,2169,5163
臺北市,2308,5326
臺北市,3922,7754
臺北市,3034,8514
臺北市,1581,4272
臺北市,2975,7801
臺北市,2822,7132
臺北市,3103,7836
臺北市,2340,5875
臺北市,2203,5224
臺北市,2422,5413
臺北市,1551,3844
臺北市,2529,6286
臺北市,2124,5169
臺北市,2187,4686
臺北市,1567,3540
臺北市,1351,3000
臺北市,2669,6154
臺北市,2128,4850
臺北市,3399,7951
臺北市,1046,2875
臺北市,1398,3087
臺北市,1044,2664
臺北市,1161,2673
臺北市,2092,4940
臺北市,2001,4735
臺北市,2814,6309
臺北市,2502,6001
臺北市,1520,3476
臺北市,2396,5650
臺北市,1815,4590
臺北市,2551,6603
臺北市,2082,5250
臺北市,1610,4507
臺北市,3058,6927
臺北市,1799,4877
臺北市,1359,3602
臺北市,1091,2994
臺北市,1380,3895
臺北市,4430,11323
臺北市,3452,7986
臺北市,3588,10175
臺北市,667,1759
臺北市,1829,4107
臺北市,1661,3611
臺北市,1447,3357
臺北市,2006,4928
臺北市,1953,4686
臺北市,1758,4405
臺北市,2278,5771
臺北市,3089,8458
臺北市,3460,8933
臺北市,1278,3179
臺北市,1513,3614
臺北市,1999,4825
臺北市,1631,4011
臺北市,2251,5693
臺北市,2016,4640
臺北市,2589,6371
臺北市,2022,5490
臺北市,1930,5226
臺北市,1823,4317
臺北市,3825,10391
臺北市,1653,4304
臺北市,2632,7069
臺北市,1164,2938
臺北市,1197,3235
臺北市,2037,5122
臺北市,1139,3085
臺北市,1827,4592
臺北市,2202,4397
臺北市,2301,5638
臺北市,2566,6659
臺北市,3322,8381
臺北市,2309,6222
臺北市,2590,7086
臺北市,1685,4351
臺北市,2715,5787
臺北市,1911,3578
臺北市,2006,3974
臺北市,2981,6696
臺北市,2706,6364
臺北市,2621,5989
臺北市,2257,5279
臺北市,1464,3670
臺北市,2137,4915
臺北市,3154,6339
臺北市,3020,7726
臺北市,1935,5038
臺北市,1573,3699
臺北市,3498,8985
臺北市,2241,5768
臺北市,2785,7200
